Time resolution is 1 ps
cntr: x flg:x messAddra:  x cmacAddra:  x messIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:x messDone:x
cntr: 4 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:222c231c1c2837292c30313434341f27 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr: 5 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr: 6 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr: 7 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr: 8 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr: 9 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr:10 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr:11 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr:12 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr:13 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr:14 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr:15 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr:16 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
cntr:17 flg:0 messAddra:  5 cmacAddra:  1 messIn:393d38323c2e333432ffdb0043010909 cmacIn:00010000ffdb00430008060607060508 in:393d38323c2e333432ffdb0043010909 cmacReg:9958fdec8e2d65c80160cfc0e66432fa encrypted:e109ac33e298773a8a915b24c78e054f bufFlg:1 messDone:0
