Sample in Buffer,Sample in Window,TRIGGER,addra[8:0],encrypted128[127:0],reset_1,decrypted_data
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,Decrypted Data
259,259,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
260,260,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
261,261,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
262,262,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
263,263,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
264,264,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
265,265,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
266,266,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
267,267,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
268,268,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
